dkey	area	location	sub_location	name	phone	address
dir01	G6G 6H2	Health Passport	null	Megantic English Speaking Community Development Corporation	(418) 332-3851	906 Mooney Street West, Thetford Mines, (QC) G6G 6H2
dir02	G6G 6H2	Directory	null	Info-santé	8-1-1	null
dir03	G6G 6H2	Directory	null	Community services	2-1-1	null
dir04	G6G 6H2	Directory	CLSC	Thetford Region	(418) 338-3511	null
dir05	G6G 6H2	Directory	CLSC	L’Érable Region	(819) 362-6301	null
dir06	G6G 6H2	Directory	CLSC	Arthabaska	(819) 758-7281	null
dir07	G6G 6H2	Directory	CLSC	Grand Littoral Region	(418) 728-3435	null
dir08	G6G 6H2	Directory	Hospital	Thetford Mines	(418) 338-7777	null
dir09	G6G 6H2	Directory	Hospital	Arthabaska	(819) 357-2030	null
dir10	G6G 6H2	Directory	Hospital	Hotel-Dieu de Lévis	(418) 835-7121	null
dir11	G6G 6H2	Directory	COOP Services	Appalaches	(418) 334-0852	null
dir12	G6G 6H2	Directory	COOP Services	Érable	(819) 621-3030	null
dir13	G6G 6H2	Directory	COOP Services	Lotbinière	(418) 728-4881	null
dir14	G6G 6H2	Directory	Volunteer services	MCDC Volunteer services for medical appointments, respite, and interpreter services	(418) 332-3851	null
dir15	G6G 6H2	Directory	Volunteer services	Association action Volontaire Amiante	(418) 334-0111	null
dir16	G6G 6H2	Directory	Volunteer services	Centre d’action bénévole de l’Érable	(819) 362-6896	null
dir17	G6G 6H2	Directory	Volunteer services	Carrefour des personnes aînées de Lotbinière	(418) 728-4825	null
dir18	G6G 6H2	Directory	Volunteer services	Alzheimer society	800-616-8816	null
dir19	G6G 6H2	Directory	Others	Canadian Cancer Society	800-321-1433	null
dir20	G6G 6H2	Directory	Others	Canadian Medic Alert	800-668-1507	null
dir21	G6G 6H2	Directory	Others	Diabetes Quebec	800-361-3504	null
dir22	G6G 6H2	Directory	Others	Lupus Canada	800-661-1468	null
dir23	G6G 6H2	Directory	Others	Multiple Sclerosis Society	800-565-3000	null
dir24	G6G 6H2	Directory	Others	Parkinson Foundation	800-565-3000	null
dir25	G6G 6H2	Directory	Others	Quebec Cancer Foundation	800-363-0063	null
